"","state","q2","q73","smok1","pvote16a","partyln","trump_support","support_for_div","non_south_democrat"
"1402","MI","Approve","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1409","IN","Approve","A worse place to live","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1417","IL","Disapprove","A better place to live","No","(VOL) Refused","(VOL) Other/Don't know/Refused",0,1,0
"1421","ND","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1423","IA","Approve","A better place to live","Yes","(VOL) Refused","Republican",1,1,0
"1427","WI","Disapprove","A better place to live","No","Voted","Democrat",0,1,1
"1428","IL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1432","IL","Approve","Doesn't make much difference either way","No","Voted","Republican",1,0,0
"1433","IL","Disapprove","A better place to live","Yes","(VOL) Refused","Democrat",0,1,1
"1436","IA","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1437","WI","Approve","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",1,1,0
"1438","MO","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1441","SD","(VOL) Don't know/Refused","Doesn't make much difference either way","Yes","(VOL) Refused","Republican",0,0,0
"1443","SD","Approve","Doesn't make much difference either way","No","Voted","(VOL) Other/Don't know/Refused",1,0,0
"1459","WI","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1460","ND","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1461","MO","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1466","IL","Approve","A worse place to live","No","Did not vote (includes too young to vote)","(VOL) Other/Don't know/Refused",1,0,0
"1467","IL","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1472","MO","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1476","IL","Disapprove","A better place to live","Yes","Voted","(VOL) Other/Don't know/Refused",0,1,0
"1497","MI","Disapprove","A better place to live","No","Voted","(VOL) Other/Don't know/Refused",0,1,0
